,obj_yearConstructed,obj_livingSpace,obj_noRooms,obj_numberOfFloors,obj_lotArea,obj_noParkSpaces,obj_buildingType,obj_cellar,obj_condition,obj_interiorQual,obj_heatingType,obj_newlyConst,obj_regio1,geo_krs,obj_purchasePrice,label
111,2000.0,166.0,12.0,,400.0,4.0,multi_family_house,y,well_kept,no_information,central_heating,n,Sachsen_Anhalt,Rhein_Sieg_Kreis,179000.0,fake
112,1954.0,89.0,11.0,,303.0,1.0,semidetached_house,n,well_kept,no_information,central_heating,n,Baden_Württemberg,Magdeburg,95000.0,fake
113,1968.0,160.0,5.0,,977.0,6.0,multi_family_house,y,modernized,sophisticated,heat_pump,n,Saarland,Bad_Doberan_Kreis,256999.0,fake
114,1965.0,220.0,5.0,2.0,717.0,,mid_terrace_house,y,no_information,no_information,oil_heating,y,Sachsen,Harburg_Kreis,523000.0,fake
115,1900.0,116.0,20.0,,781.0,1.0,multi_family_house,n,need_of_renovation,no_information,central_heating,n,Rheinland_Pfalz,Mettmann_Kreis,419000.0,fake
116,2003.0,330.0,5.0,2.0,377.0,,multi_family_house,y,modernized,sophisticated,self_contained_central_heating,n,Nordrhein_Westfalen,Wittenberg_Kreis,340000.0,fake
117,2003.0,202.0,7.0,3.0,169.0,,multi_family_house,n,well_kept,no_information,gas_heating,n,Bayern,Mettmann_Kreis,499000.0,fake
118,1996.0,310.0,6.0,,369.0,,villa,n,well_kept,sophisticated,central_heating,n,Nordrhein_Westfalen,Steinfurt_Kreis,150000.0,fake
119,,75.0,15.0,,984.0,2.0,single_family_house,n,mint_condition,no_information,no_information,n,Schleswig_Holstein,Darmstadt_Dieburg_Kreis,310000.0,fake
120,1880.0,120.0,13.0,1.0,4700.0,,villa,y,well_kept,sophisticated,central_heating,n,Schleswig_Holstein,Recklinghausen_Kreis,429000.0,fake
121,1850.0,491.0,10.0,2.0,719.0,2.0,multi_family_house,n,no_information,no_information,no_information,n,Mecklenburg_Vorpommern,Salzlandkreis,449000.0,fake
122,1977.0,140.0,6.0,,2296.0,2.0,single_family_house,n,need_of_renovation,sophisticated,floor_heating,n,Baden_Württemberg,Anhalt_Bitterfeld_Kreis,724000.0,fake
123,1920.0,175.0,4.0,3.0,798.0,1.0,single_family_house,y,refurbished,no_information,stove_heating,y,Niedersachsen,Stade_Kreis,795000.0,fake
124,1998.0,250.0,8.0,1.0,1250.0,,multi_family_house,y,first_time_use,no_information,no_information,n,Sachsen,Elbe_Elster_Kreis,599000.0,fake
125,,162.0,5.0,,1646.0,,single_family_house,n,well_kept,no_information,heat_pump,n,Nordrhein_Westfalen,Breisgau_Hochschwarzwald_Kreis,361700.0,fake
126,1936.0,110.0,7.0,,500.0,,multi_family_house,y,refurbished,no_information,no_information,n,Niedersachsen,Nordsachsen_Kreis,235000.0,fake
127,1972.0,114.0,3.0,,989.0,,single_family_house,y,no_information,no_information,central_heating,n,Nordrhein_Westfalen,Lippe_Kreis,1050000.0,fake
128,1925.0,358.0,9.0,3.0,1115.0,,multi_family_house,y,refurbished,sophisticated,central_heating,n,Rheinland_Pfalz,Cuxhaven_Kreis,150000.0,fake
129,2001.0,112.0,6.0,1.0,198.0,2.0,single_family_house,n,well_kept,sophisticated,central_heating,n,Schleswig_Holstein,Neckar_Odenwald_Kreis,525100.0,fake
130,,199.0,6.0,,465.0,1.0,semidetached_house,y,no_information,no_information,central_heating,n,Baden_Württemberg,Rendsburg_Eckernförde_Kreis,369000.0,fake
131,1905.0,100.0,6.0,2.0,780.0,1.0,single_family_house,n,well_kept,no_information,no_information,n,Sachsen,Alzey_Worms_Kreis,259000.0,fake
132,1906.0,219.0,9.0,2.0,408.0,,single_family_house,y,first_time_use,normal,no_information,n,Bayern,Celle_Kreis,1500000.0,fake
133,1983.0,120.0,,2.0,581.0,6.0,single_family_house,y,no_information,no_information,central_heating,n,Thüringen,Cuxhaven_Kreis,305000.0,fake
134,1960.0,273.0,7.0,2.0,484.0,,multi_family_house,n,mint_condition,sophisticated,oil_heating,n,Sachsen_Anhalt,Bremen,1380000.0,fake
135,1972.0,140.0,14.0,,717.0,2.0,single_family_house,y,need_of_renovation,sophisticated,gas_heating,n,Sachsen,Hildesheim_Kreis,479000.0,fake
136,2013.0,246.0,6.0,,540.0,,multi_family_house,y,need_of_renovation,sophisticated,central_heating,n,Bayern,Wiesbaden,199000.0,fake
